Sourcefile	20210805 154301 Meng_500ms_CO2_wo_47_49.qmp
Exporttime	8/5/2021 04:01:12.927 PM

Start Time	8/5/2021 03:43:10.017 PM
End Time	8/5/2021 04:00:58.653 PM

		18			28			32			40			44			45			TP	
Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Pressure [mbar]	
8/5/2021 03:43:32.273 PM	22.257	7.133878e-011	8/5/2021 03:43:32.336 PM	22.319	1.674771e-010	8/5/2021 03:43:32.550 PM	22.533	9.833261e-011	8/5/2021 03:43:32.765 PM	22.748	3.906986e-012	8/5/2021 03:43:33.304 PM	23.287	1.405210e-012	8/5/2021 03:43:33.843 PM	23.827	1.918325e-014	8/5/2021 03:43:33.921 PM	23.905	9.004274e-009
8/5/2021 03:43:33.984 PM	23.967	7.167086e-011	8/5/2021 03:43:34.046 PM	24.029	1.674198e-010	8/5/2021 03:43:34.261 PM	24.244	9.760987e-011	8/5/2021 03:43:34.474 PM	24.458	3.933358e-012	8/5/2021 03:43:35.016 PM	24.999	1.420263e-012	8/5/2021 03:43:35.554 PM	25.538	1.548924e-014	8/5/2021 03:43:35.633 PM	25.617	8.962178e-009
8/5/2021 03:43:35.696 PM	25.679	7.174287e-011	8/5/2021 03:43:35.757 PM	25.740	1.672756e-010	8/5/2021 03:43:35.973 PM	25.956	9.695367e-011	8/5/2021 03:43:36.188 PM	26.171	3.907534e-012	8/5/2021 03:43:36.725 PM	26.708	1.406174e-012	8/5/2021 03:43:37.264 PM	27.248	1.422568e-014	8/5/2021 03:43:37.344 PM	27.328	9.004274e-009
8/5/2021 03:43:37.406 PM	27.389	7.177701e-011	8/5/2021 03:43:37.468 PM	27.451	1.657451e-010	8/5/2021 03:43:37.683 PM	27.667	9.733733e-011	8/5/2021 03:43:37.897 PM	27.881	4.085638e-012	8/5/2021 03:43:38.435 PM	28.419	1.385121e-012	8/5/2021 03:43:38.972 PM	28.955	1.577707e-014	8/5/2021 03:43:39.050 PM	29.034	9.046568e-009
8/5/2021 03:43:39.112 PM	29.095	7.327922e-011	8/5/2021 03:43:39.174 PM	29.157	1.660750e-010	8/5/2021 03:43:39.388 PM	29.371	9.742672e-011	8/5/2021 03:43:39.608 PM	29.591	4.019569e-012	8/5/2021 03:43:40.144 PM	30.128	1.406544e-012	8/5/2021 03:43:40.682 PM	30.666	1.683310e-014	8/5/2021 03:43:40.762 PM	30.746	8.962178e-009
8/5/2021 03:43:40.824 PM	30.807	7.161708e-011	8/5/2021 03:43:40.886 PM	30.869	1.687462e-010	8/5/2021 03:43:41.100 PM	31.083	9.750276e-011	8/5/2021 03:43:41.313 PM	31.297	4.036745e-012	8/5/2021 03:43:41.852 PM	31.835	1.403744e-012	8/5/2021 03:43:42.390 PM	32.373	1.742278e-014	8/5/2021 03:43:42.469 PM	32.452	8.962178e-009
8/5/2021 03:43:42.528 PM	32.512	7.190974e-011	8/5/2021 03:43:42.590 PM	32.573	1.659977e-010	8/5/2021 03:43:42.805 PM	32.788	9.761691e-011	8/5/2021 03:43:43.020 PM	33.003	4.050029e-012	8/5/2021 03:43:43.558 PM	33.541	1.383024e-012	8/5/2021 03:43:44.095 PM	34.078	1.458125e-014	8/5/2021 03:43:44.175 PM	34.158	8.962178e-009
8/5/2021 03:43:44.236 PM	34.219	7.146177e-011	8/5/2021 03:43:44.297 PM	34.281	1.656437e-010	8/5/2021 03:43:44.512 PM	34.496	9.771369e-011	8/5/2021 03:43:44.728 PM	34.711	4.056464e-012	8/5/2021 03:43:45.264 PM	35.248	1.390526e-012	8/5/2021 03:43:45.802 PM	35.786	1.149676e-014	8/5/2021 03:43:45.881 PM	35.865	8.920279e-009
8/5/2021 03:43:45.944 PM	35.927	7.154325e-011	8/5/2021 03:43:46.006 PM	35.989	1.686830e-010	8/5/2021 03:43:46.220 PM	36.203	9.744440e-011	8/5/2021 03:43:46.434 PM	36.418	3.980842e-012	8/5/2021 03:43:46.972 PM	36.955	1.377349e-012	8/5/2021 03:43:47.510 PM	37.493	1.591045e-014	8/5/2021 03:43:47.589 PM	37.572	9.004274e-009
8/5/2021 03:43:47.649 PM	37.633	7.146158e-011	8/5/2021 03:43:47.712 PM	37.695	1.667751e-010	8/5/2021 03:43:47.926 PM	37.909	9.787571e-011	8/5/2021 03:43:48.141 PM	38.124	4.035610e-012	8/5/2021 03:43:48.678 PM	38.661	1.371799e-012	8/5/2021 03:43:49.216 PM	39.199	1.441459e-014	8/5/2021 03:43:49.295 PM	39.278	9.046568e-009
8/5/2021 03:43:49.356 PM	39.339	7.157096e-011	8/5/2021 03:43:49.417 PM	39.401	1.669363e-010	8/5/2021 03:43:49.632 PM	39.615	9.731291e-011	8/5/2021 03:43:49.850 PM	39.834	4.075841e-012	8/5/2021 03:43:50.389 PM	40.372	1.400323e-012	8/5/2021 03:43:50.925 PM	40.908	1.687004e-014	8/5/2021 03:43:51.004 PM	40.987	8.962178e-009
8/5/2021 03:43:51.065 PM	41.049	7.156608e-011	8/5/2021 03:43:51.127 PM	41.110	1.673990e-010	8/5/2021 03:43:51.342 PM	41.325	9.730101e-011	8/5/2021 03:43:51.560 PM	41.544	3.865638e-012	8/5/2021 03:43:52.097 PM	42.081	1.456474e-012	8/5/2021 03:43:52.637 PM	42.620	1.683433e-014	8/5/2021 03:43:52.714 PM	42.698	9.004274e-009
8/5/2021 03:43:52.776 PM	42.760	7.092622e-011	8/5/2021 03:43:52.838 PM	42.821	1.657954e-010	8/5/2021 03:43:53.052 PM	43.035	9.748505e-011	8/5/2021 03:43:53.271 PM	43.254	3.967127e-012	8/5/2021 03:43:53.809 PM	43.793	1.409688e-012	8/5/2021 03:43:54.346 PM	44.330	2.243377e-014	8/5/2021 03:43:54.425 PM	44.409	9.004274e-009
8/5/2021 03:43:54.487 PM	44.470	7.027823e-011	8/5/2021 03:43:54.547 PM	44.531	1.675006e-010	8/5/2021 03:43:54.761 PM	44.745	9.697015e-011	8/5/2021 03:43:54.977 PM	44.961	4.035546e-012	8/5/2021 03:43:55.516 PM	45.499	1.435823e-012	8/5/2021 03:43:56.056 PM	46.039	1.678518e-014	8/5/2021 03:43:56.134 PM	46.117	8.962178e-009
8/5/2021 03:43:56.195 PM	46.179	7.113417e-011	8/5/2021 03:43:56.256 PM	46.240	1.658928e-010	8/5/2021 03:43:56.471 PM	46.454	9.761049e-011	8/5/2021 03:43:56.689 PM	46.673	3.943162e-012	8/5/2021 03:43:57.228 PM	47.211	1.425507e-012	8/5/2021 03:43:57.767 PM	47.750	1.465694e-014	8/5/2021 03:43:57.846 PM	47.829	8.962178e-009
