Sourcefile	20210805 093341 Meng_500ms_CO2_2panel.qmp
Exporttime	8/5/2021 11:40:38.550 AM

Start Time	8/5/2021 09:33:54.686 AM
End Time	8/5/2021 11:40:28.755 AM

		18			28			32			40			44			45			47			49			TP	
Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Pressure [mbar]	
8/5/2021 09:34:30.614 AM	35.928	1.184709e-010	8/5/2021 09:34:30.828 AM	36.142	1.527670e-010	8/5/2021 09:34:31.365 AM	36.679	8.679534e-011	8/5/2021 09:34:31.904 AM	37.218	3.731523e-012	8/5/2021 09:34:32.440 AM	37.755	3.730549e-013	8/5/2021 09:34:32.978 AM	38.293	-4.117016e-015	8/5/2021 09:34:33.517 AM	38.831	-1.724758e-015	8/5/2021 09:34:34.054 AM	39.368	-4.715235e-015	8/5/2021 09:34:34.133 AM	39.447	9.392108e-009
8/5/2021 09:34:34.194 AM	39.509	1.188756e-010	8/5/2021 09:34:34.408 AM	39.723	1.526645e-010	8/5/2021 09:34:34.946 AM	40.261	8.651887e-011	8/5/2021 09:34:35.486 AM	40.800	3.599924e-012	8/5/2021 09:34:36.023 AM	41.337	3.523540e-013	8/5/2021 09:34:36.561 AM	41.876	-6.015747e-016	8/5/2021 09:34:37.101 AM	42.415	-7.748136e-015	8/5/2021 09:34:37.640 AM	42.955	-7.205470e-015	8/5/2021 09:34:37.719 AM	43.033	9.436223e-009
8/5/2021 09:34:37.782 AM	43.096	1.193688e-010	8/5/2021 09:34:37.994 AM	43.309	1.532894e-010	8/5/2021 09:34:38.531 AM	43.846	8.637648e-011	8/5/2021 09:34:39.069 AM	44.383	3.687643e-012	8/5/2021 09:34:39.607 AM	44.921	3.727564e-013	8/5/2021 09:34:40.145 AM	45.460	1.277928e-015	8/5/2021 09:34:40.682 AM	45.997	-5.015870e-015	8/5/2021 09:34:41.219 AM	46.534	-2.284214e-015	8/5/2021 09:34:41.297 AM	46.612	9.436223e-009
8/5/2021 09:34:41.360 AM	46.674	1.192653e-010	8/5/2021 09:34:41.574 AM	46.888	1.524286e-010	8/5/2021 09:34:42.112 AM	47.427	8.678398e-011	8/5/2021 09:34:42.650 AM	47.965	3.596742e-012	8/5/2021 09:34:43.187 AM	48.502	3.704331e-013	8/5/2021 09:34:43.726 AM	49.040	-2.136496e-017	8/5/2021 09:34:44.263 AM	49.577	-8.787082e-016	8/5/2021 09:34:44.801 AM	50.116	-4.257722e-015	8/5/2021 09:34:44.880 AM	50.194	9.392108e-009
8/5/2021 09:34:44.942 AM	50.256	1.182392e-010	8/5/2021 09:34:45.155 AM	50.470	1.525733e-010	8/5/2021 09:34:45.695 AM	51.009	8.635059e-011	8/5/2021 09:34:46.232 AM	51.546	3.589784e-012	8/5/2021 09:34:46.770 AM	52.085	3.825242e-013	8/5/2021 09:34:47.308 AM	52.622	-1.070687e-015	8/5/2021 09:34:47.843 AM	53.158	-3.518496e-015	8/5/2021 09:34:48.381 AM	53.695	-5.117508e-015	8/5/2021 09:34:48.458 AM	53.773	9.436223e-009
8/5/2021 09:34:48.520 AM	53.835	1.184593e-010	8/5/2021 09:34:48.735 AM	54.049	1.531550e-010	8/5/2021 09:34:49.272 AM	54.587	8.605880e-011	8/5/2021 09:34:49.808 AM	55.123	3.621774e-012	8/5/2021 09:34:50.346 AM	55.661	3.732338e-013	8/5/2021 09:34:50.883 AM	56.198	-3.524905e-015	8/5/2021 09:34:51.421 AM	56.735	-4.090463e-015	8/5/2021 09:34:51.960 AM	57.274	-5.590892e-015	8/5/2021 09:34:52.038 AM	57.352	9.392108e-009
8/5/2021 09:34:52.099 AM	57.414	1.199903e-010	8/5/2021 09:34:52.314 AM	57.629	1.532975e-010	8/5/2021 09:34:52.853 AM	58.167	8.636705e-011	8/5/2021 09:34:53.389 AM	58.703	3.665415e-012	8/5/2021 09:34:53.928 AM	59.242	3.645242e-013	8/5/2021 09:34:54.466 AM	59.781	-2.357772e-015	8/5/2021 09:34:55.004 AM	60.318	-4.576365e-015	8/5/2021 09:34:55.542 AM	60.856	-5.309483e-015	8/5/2021 09:34:55.619 AM	60.934	9.392108e-009
8/5/2021 09:34:55.681 AM	60.996	1.169308e-010	8/5/2021 09:34:55.896 AM	61.210	1.515572e-010	8/5/2021 09:34:56.432 AM	61.747	8.617597e-011	8/5/2021 09:34:56.970 AM	62.285	3.527607e-012	8/5/2021 09:34:57.511 AM	62.825	3.807820e-013	8/5/2021 09:34:58.048 AM	63.362	1.689353e-015	8/5/2021 09:34:58.588 AM	63.902	-4.248872e-015	8/5/2021 09:34:59.126 AM	64.440	-9.142050e-015	8/5/2021 09:34:59.203 AM	64.518	9.436223e-009
8/5/2021 09:34:59.265 AM	64.580	1.179050e-010	8/5/2021 09:34:59.480 AM	64.794	1.531935e-010	8/5/2021 09:35:00.017 AM	65.332	8.617046e-011	8/5/2021 09:35:00.556 AM	65.870	3.561989e-012	8/5/2021 09:35:01.096 AM	66.410	3.561001e-013	8/5/2021 09:35:01.633 AM	66.948	-3.200769e-015	8/5/2021 09:35:02.170 AM	67.485	-2.768278e-016	8/5/2021 09:35:02.710 AM	68.024	-1.431755e-015	8/5/2021 09:35:02.787 AM	68.102	9.436223e-009
8/5/2021 09:35:02.849 AM	68.164	1.182973e-010	8/5/2021 09:35:03.064 AM	68.379	1.525436e-010	8/5/2021 09:35:03.600 AM	68.915	8.621447e-011	8/5/2021 09:35:04.137 AM	69.452	3.607764e-012	8/5/2021 09:35:04.677 AM	69.991	3.833514e-013	8/5/2021 09:35:05.214 AM	70.528	-1.594127e-015	8/5/2021 09:35:05.752 AM	71.066	-6.055121e-015	8/5/2021 09:35:06.289 AM	71.604	-8.480040e-015	8/5/2021 09:35:06.368 AM	71.682	9.436223e-009
8/5/2021 09:35:06.430 AM	71.744	1.183833e-010	8/5/2021 09:35:06.645 AM	71.959	1.519897e-010	8/5/2021 09:35:07.183 AM	72.497	8.619159e-011	8/5/2021 09:35:07.721 AM	73.036	3.568044e-012	8/5/2021 09:35:08.261 AM	73.575	3.532436e-013	8/5/2021 09:35:08.799 AM	74.113	-1.083811e-015	8/5/2021 09:35:09.336 AM	74.651	-5.254244e-015	8/5/2021 09:35:09.874 AM	75.189	-2.957514e-015	8/5/2021 09:35:09.952 AM	75.267	9.392108e-009
8/5/2021 09:35:10.015 AM	75.329	1.172280e-010	8/5/2021 09:35:10.230 AM	75.544	1.525589e-010	8/5/2021 09:35:10.768 AM	76.082	8.600994e-011	8/5/2021 09:35:11.305 AM	76.620	3.662047e-012	8/5/2021 09:35:11.846 AM	77.160	3.651770e-013	8/5/2021 09:35:12.385 AM	77.700	-2.600419e-016	8/5/2021 09:35:12.924 AM	78.238	-2.233550e-015	8/5/2021 09:35:13.463 AM	78.777	-6.971368e-015	8/5/2021 09:35:13.541 AM	78.855	9.348199e-009
8/5/2021 09:35:13.602 AM	78.917	1.185240e-010	8/5/2021 09:35:13.817 AM	79.132	1.513939e-010	8/5/2021 09:35:14.360 AM	79.674	8.639878e-011	8/5/2021 09:35:14.898 AM	80.213	3.490775e-012	8/5/2021 09:35:15.440 AM	80.754	3.942427e-013	8/5/2021 09:35:15.978 AM	81.293	9.916362e-016	8/5/2021 09:35:16.520 AM	81.834	-5.544807e-015	8/5/2021 09:35:17.058 AM	82.373	-2.689843e-015	8/5/2021 09:35:17.136 AM	82.451	9.392108e-009
8/5/2021 09:35:17.200 AM	82.514	1.190919e-010	8/5/2021 09:35:17.415 AM	82.729	1.528315e-010	8/5/2021 09:35:17.955 AM	83.270	8.587323e-011	8/5/2021 09:35:18.495 AM	83.809	3.572999e-012	8/5/2021 09:35:19.037 AM	84.351	3.584098e-013	8/5/2021 09:35:19.576 AM	84.891	-1.818153e-015	8/5/2021 09:35:20.117 AM	85.431	-6.697291e-015	8/5/2021 09:35:20.655 AM	85.969	-3.652789e-015	8/5/2021 09:35:20.733 AM	86.047	9.392108e-009
