Sourcefile	20210805 143133 Meng_500ms_CO2_wo_47_49.qmp
Exporttime	8/5/2021 03:27:42.010 PM

Start Time	8/5/2021 02:31:59.810 PM
End Time	8/5/2021 03:27:33.531 PM

		18			28			32			40			44			45			TP	
Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Pressure [mbar]	
8/5/2021 02:32:22.072 PM	22.262	7.282696e-011	8/5/2021 02:32:22.134 PM	22.324	1.551535e-010	8/5/2021 02:32:22.349 PM	22.539	9.027894e-011	8/5/2021 02:32:22.563 PM	22.754	3.578857e-012	8/5/2021 02:32:23.103 PM	23.293	1.236232e-012	8/5/2021 02:32:23.640 PM	23.831	2.150195e-014	8/5/2021 02:32:23.725 PM	23.915	8.672983e-009
8/5/2021 02:32:23.785 PM	23.976	7.196817e-011	8/5/2021 02:32:23.848 PM	24.038	1.560154e-010	8/5/2021 02:32:24.063 PM	24.253	9.053537e-011	8/5/2021 02:32:24.278 PM	24.468	3.632134e-012	8/5/2021 02:32:24.816 PM	25.006	1.240841e-012	8/5/2021 02:32:25.354 PM	25.545	1.330241e-014	8/5/2021 02:32:25.433 PM	25.624	8.672983e-009
8/5/2021 02:32:25.495 PM	25.685	7.325147e-011	8/5/2021 02:32:25.557 PM	25.747	1.561233e-010	8/5/2021 02:32:25.770 PM	25.961	9.038333e-011	8/5/2021 02:32:25.990 PM	26.180	3.638727e-012	8/5/2021 02:32:26.527 PM	26.717	1.289718e-012	8/5/2021 02:32:27.065 PM	27.256	1.035954e-014	8/5/2021 02:32:27.144 PM	27.335	8.672983e-009
8/5/2021 02:32:27.206 PM	27.396	7.294619e-011	8/5/2021 02:32:27.266 PM	27.457	1.545877e-010	8/5/2021 02:32:27.482 PM	27.673	9.071573e-011	8/5/2021 02:32:27.697 PM	27.888	3.554066e-012	8/5/2021 02:32:28.236 PM	28.426	1.225626e-012	8/5/2021 02:32:28.774 PM	28.964	1.353314e-014	8/5/2021 02:32:28.856 PM	29.046	8.672983e-009
8/5/2021 02:32:28.915 PM	29.106	7.299529e-011	8/5/2021 02:32:28.976 PM	29.167	1.552082e-010	8/5/2021 02:32:29.192 PM	29.383	9.078409e-011	8/5/2021 02:32:29.408 PM	29.598	3.617722e-012	8/5/2021 02:32:29.948 PM	30.138	1.231321e-012	8/5/2021 02:32:30.487 PM	30.677	1.655963e-014	8/5/2021 02:32:30.566 PM	30.756	8.672983e-009
8/5/2021 02:32:30.626 PM	30.817	7.411746e-011	8/5/2021 02:32:30.688 PM	30.879	1.529109e-010	8/5/2021 02:32:30.904 PM	31.094	9.026190e-011	8/5/2021 02:32:31.122 PM	31.313	3.748504e-012	8/5/2021 02:32:31.662 PM	31.852	1.227445e-012	8/5/2021 02:32:32.200 PM	32.390	1.493498e-014	8/5/2021 02:32:32.280 PM	32.471	8.632436e-009
8/5/2021 02:32:32.341 PM	32.531	7.322185e-011	8/5/2021 02:32:32.402 PM	32.593	1.533125e-010	8/5/2021 02:32:32.616 PM	32.807	8.998623e-011	8/5/2021 02:32:32.832 PM	33.022	3.826515e-012	8/5/2021 02:32:33.370 PM	33.561	1.274833e-012	8/5/2021 02:32:33.910 PM	34.100	1.180290e-014	8/5/2021 02:32:33.987 PM	34.178	8.592079e-009
8/5/2021 02:32:34.050 PM	34.241	7.320222e-011	8/5/2021 02:32:34.112 PM	34.302	1.541006e-010	8/5/2021 02:32:34.327 PM	34.517	9.032994e-011	8/5/2021 02:32:34.542 PM	34.732	3.626243e-012	8/5/2021 02:32:35.079 PM	35.269	1.262303e-012	8/5/2021 02:32:35.621 PM	35.811	1.450464e-014	8/5/2021 02:32:35.699 PM	35.890	8.592079e-009
8/5/2021 02:32:35.761 PM	35.952	7.253118e-011	8/5/2021 02:32:35.824 PM	36.014	1.537538e-010	8/5/2021 02:32:36.038 PM	36.228	8.976771e-011	8/5/2021 02:32:36.253 PM	36.443	3.680018e-012	8/5/2021 02:32:36.792 PM	36.982	1.189973e-012	8/5/2021 02:32:37.329 PM	37.520	1.297400e-014	8/5/2021 02:32:37.408 PM	37.599	8.632436e-009
8/5/2021 02:32:37.470 PM	37.660	7.340637e-011	8/5/2021 02:32:37.532 PM	37.722	1.532655e-010	8/5/2021 02:32:37.745 PM	37.936	8.898031e-011	8/5/2021 02:32:37.966 PM	38.156	3.687618e-012	8/5/2021 02:32:38.503 PM	38.693	1.182102e-012	8/5/2021 02:32:39.041 PM	39.232	1.475613e-014	8/5/2021 02:32:39.120 PM	39.311	8.592079e-009
8/5/2021 02:32:39.182 PM	39.372	7.278792e-011	8/5/2021 02:32:39.244 PM	39.434	1.542733e-010	8/5/2021 02:32:39.457 PM	39.648	8.935816e-011	8/5/2021 02:32:39.673 PM	39.864	3.583441e-012	8/5/2021 02:32:40.211 PM	40.402	1.255097e-012	8/5/2021 02:32:40.751 PM	40.941	1.780857e-014	8/5/2021 02:32:40.830 PM	41.020	8.592079e-009
8/5/2021 02:32:40.890 PM	41.081	7.277233e-011	8/5/2021 02:32:40.952 PM	41.142	1.540576e-010	8/5/2021 02:32:41.167 PM	41.357	8.845744e-011	8/5/2021 02:32:41.386 PM	41.577	3.625668e-012	8/5/2021 02:32:41.923 PM	42.114	1.258393e-012	8/5/2021 02:32:42.463 PM	42.653	1.743712e-014	8/5/2021 02:32:42.542 PM	42.732	8.592079e-009
8/5/2021 02:32:42.604 PM	42.794	7.213594e-011	8/5/2021 02:32:42.665 PM	42.856	1.526352e-010	8/5/2021 02:32:42.880 PM	43.071	8.882097e-011	8/5/2021 02:32:43.098 PM	43.289	3.763608e-012	8/5/2021 02:32:43.635 PM	43.826	1.240230e-012	8/5/2021 02:32:44.175 PM	44.365	1.294714e-014	8/5/2021 02:32:44.254 PM	44.444	8.511947e-009
8/5/2021 02:32:44.313 PM	44.504	7.162173e-011	8/5/2021 02:32:44.376 PM	44.566	1.519902e-010	8/5/2021 02:32:44.592 PM	44.782	8.853161e-011	8/5/2021 02:32:44.810 PM	45.001	3.611445e-012	8/5/2021 02:32:45.347 PM	45.538	1.230940e-012	8/5/2021 02:32:45.888 PM	46.078	1.471005e-014	8/5/2021 02:32:45.967 PM	46.157	8.551928e-009
8/5/2021 02:32:46.028 PM	46.218	7.333156e-011	8/5/2021 02:32:46.088 PM	46.279	1.519298e-010	8/5/2021 02:32:46.305 PM	46.496	8.846479e-011	8/5/2021 02:32:46.522 PM	46.713	3.719665e-012	8/5/2021 02:32:47.064 PM	47.255	1.216457e-012	8/5/2021 02:32:47.603 PM	47.794	8.938162e-015	8/5/2021 02:32:47.682 PM	47.873	8.511947e-009
8/5/2021 02:32:47.744 PM	47.934	7.377244e-011	8/5/2021 02:32:47.806 PM	47.996	1.517012e-010	8/5/2021 02:32:48.021 PM	48.211	8.798590e-011	8/5/2021 02:32:48.241 PM	48.432	3.710534e-012	8/5/2021 02:32:48.782 PM	48.972	1.233845e-012	8/5/2021 02:32:49.321 PM	49.512	2.406910e-014	8/5/2021 02:32:49.400 PM	49.591	8.511947e-009
8/5/2021 02:32:49.462 PM	49.652	7.342782e-011	8/5/2021 02:32:49.523 PM	49.714	1.518973e-010	8/5/2021 02:32:49.740 PM	49.930	8.813119e-011	8/5/2021 02:32:49.958 PM	50.148	3.579529e-012	8/5/2021 02:32:50.497 PM	50.688	1.252204e-012	8/5/2021 02:32:51.038 PM	51.228	1.174398e-014	8/5/2021 02:32:51.117 PM	51.307	8.472153e-009
8/5/2021 02:32:51.176 PM	51.367	7.350021e-011	8/5/2021 02:32:51.239 PM	51.429	1.509413e-010	8/5/2021 02:32:51.455 PM	51.645	8.823404e-011	8/5/2021 02:32:51.671 PM	51.861	3.633601e-012	8/5/2021 02:32:52.209 PM	52.400	1.281636e-012	8/5/2021 02:32:52.749 PM	52.939	1.517641e-014	8/5/2021 02:32:52.834 PM	53.025	8.472153e-009
8/5/2021 02:32:52.896 PM	53.087	7.346380e-011	8/5/2021 02:32:52.958 PM	53.148	1.511288e-010	8/5/2021 02:32:53.173 PM	53.363	8.726865e-011	8/5/2021 02:32:53.388 PM	53.578	3.617077e-012	8/5/2021 02:32:53.927 PM	54.117	1.224381e-012	8/5/2021 02:32:54.465 PM	54.656	1.967159e-014	8/5/2021 02:32:54.544 PM	54.735	8.472153e-009
8/5/2021 02:32:54.606 PM	54.796	7.252410e-011	8/5/2021 02:32:54.666 PM	54.857	1.518035e-010	8/5/2021 02:32:54.882 PM	55.073	8.768589e-011	8/5/2021 02:32:55.104 PM	55.294	3.599100e-012	8/5/2021 02:32:55.646 PM	55.836	1.205201e-012	8/5/2021 02:32:56.184 PM	56.375	2.118728e-014	8/5/2021 02:32:56.264 PM	56.454	8.472153e-009
8/5/2021 02:32:56.326 PM	56.516	7.336937e-011	8/5/2021 02:32:56.387 PM	56.578	1.501993e-010	8/5/2021 02:32:56.602 PM	56.793	8.686426e-011	8/5/2021 02:32:56.822 PM	57.012	3.537704e-012	8/5/2021 02:32:57.360 PM	57.550	1.227570e-012	8/5/2021 02:32:57.900 PM	58.090	1.321969e-014	8/5/2021 02:32:57.978 PM	58.169	8.472153e-009
8/5/2021 02:32:58.040 PM	58.231	7.337236e-011	8/5/2021 02:32:58.103 PM	58.293	1.527124e-010	8/5/2021 02:32:58.317 PM	58.507	8.757536e-011	8/5/2021 02:32:58.536 PM	58.727	3.586946e-012	8/5/2021 02:32:59.078 PM	59.268	1.213628e-012	8/5/2021 02:32:59.616 PM	59.807	1.450525e-014	8/5/2021 02:32:59.696 PM	59.887	8.393121e-009
8/5/2021 02:32:59.758 PM	59.948	7.280200e-011	8/5/2021 02:32:59.820 PM	60.010	1.517083e-010	8/5/2021 02:33:00.035 PM	60.226	8.736420e-011	8/5/2021 02:33:00.255 PM	60.445	3.473838e-012	8/5/2021 02:33:00.793 PM	60.984	1.226938e-012	8/5/2021 02:33:01.335 PM	61.525	1.181663e-014	8/5/2021 02:33:01.414 PM	61.604	8.472153e-009
8/5/2021 02:33:01.475 PM	61.666	7.307257e-011	8/5/2021 02:33:01.537 PM	61.728	1.492633e-010	8/5/2021 02:33:01.752 PM	61.942	8.756778e-011	8/5/2021 02:33:01.967 PM	62.157	3.743612e-012	8/5/2021 02:33:02.508 PM	62.698	1.224415e-012	8/5/2021 02:33:03.046 PM	63.236	1.441216e-014	8/5/2021 02:33:03.125 PM	63.315	8.432544e-009
