,0
O2,4.369401086245043e-12
CO2,2.4592160603501927e-13
45CO2,4.717271012820515e-15
47CO2,4.717271012820515e-15
49CO2,4.717271012820515e-15
d45dO2,4.343264709521384e-05
d44dO2,0.0003377242857786182
O2max,9.562932444245399e-11
kO2,4606753300408.304
O2min,4.3145656675967535e-12
kIC,37.18574152563446
f13C,0.9535197186336427
