time/s,smt_CO2,smt_HCO3,smt_O2,PS_rate,Ub,Uc,cyt_CO2
5735.043000000001,24.243469177278563,2549.995122237835,362.22351799004576,1.949649965289463e-18,1.1909807284383952e-18,7.586692368510677e-19,23.74238778800437
5738.628000000001,24.183654969487563,2549.9968190418235,362.28163539384815,1.949649965289463e-18,1.1590416415198633e-18,7.906083237695994e-19,23.661478640194826
5742.210999999999,24.123840761696563,2549.998515845812,362.3397527976506,1.949649965289463e-18,1.1271025546013316e-18,8.225474106881312e-19,23.580569492385283
5745.804,24.06402655390556,2550.000212649801,362.397870201453,1.949649965289463e-18,1.0951634676827983e-18,8.544864976066645e-19,23.499660344575737
5749.4,24.00421234611456,2550.0019094537897,362.4559876052554,1.949649965289463e-18,1.0632243807642666e-18,8.864255845251963e-19,23.418751196766195
5752.99,23.94439813832356,2550.003606257778,362.5141050090578,1.949649965289463e-18,1.0312852938457363e-18,9.183646714437266e-19,23.337842048956652
5756.588000000001,23.88458393053256,2550.0053030617664,362.5722224128602,1.949649965289463e-18,9.993462069272044e-19,9.503037583622584e-19,23.25693290114711
5760.182,23.82476972274156,2550.006999865755,362.6303398166626,1.949649965289463e-18,9.674071200086753e-19,9.822428452807874e-19,23.176023753337567
5763.774,23.76495551495056,2550.008696669744,362.688457220465,1.949649965289463e-18,9.354680330901421e-19,1.0141819321993208e-18,23.095114605528025
5767.359,23.705141307159558,2550.0103934737326,362.74657462426745,1.949649965289463e-18,9.035289461716088e-19,1.0461210191178539e-18,23.014205457718475
5770.944,23.645327099368558,2550.012090277721,362.80469202806984,1.949649965289463e-18,8.715898592530771e-19,1.0780601060363858e-18,22.933296309908933
5774.531999999999,23.585512891577558,2550.0137870817093,362.8628094318723,1.949649965289463e-18,8.396507723345482e-19,1.1099991929549148e-18,22.852387162099394
5778.118,23.52569868378656,2550.015483885698,362.92092683567466,1.949649965289463e-18,8.077116854160178e-19,1.141938279873445e-18,22.77147801428985
