time/s,smt_CO2,smt_HCO3,smt_O2,PS_rate,Ub,Uc,cyt_CO2
4023.039,26.23540488232234,2577.012835224598,332.86673518254815,1.8163639701488197e-18,1.872108107307315e-18,-5.57441371584951e-20,26.27222244172043
4026.631,26.17153214656852,2577.021422188522,332.9220209543776,1.8163639701488197e-18,1.837969919657229e-18,-2.160594950840939e-20,26.185802316848783
4030.2259999999997,26.107659410814705,2577.0300091524464,332.977306726207,1.8163639701488197e-18,1.803831732007142e-18,1.2532238141677736e-20,26.09938219197714
4033.8190000000004,26.043786675060886,2577.038596116371,333.0325924980365,1.8163639701488197e-18,1.7696935443570532e-18,4.6670425791766267e-20,26.012962067105487
4037.409,25.97991393930707,2577.0471830802953,333.0878782698659,1.8163639701488197e-18,1.7355553567069676e-18,8.080861344185199e-20,25.926541942233843
4040.9970000000003,25.916041203553252,2577.05577004422,333.14316404169534,1.8163639701488197e-18,1.7014171690568764e-18,1.1494680109194332e-19,25.84012181736219
4044.58,25.852168467799434,2577.0643570081443,333.19844981352475,1.8163639701488197e-18,1.667278981406789e-18,1.4908498874203045e-19,25.75370169249054
4048.164,25.78829573204562,2577.0729439720685,333.2537355853542,1.8163639701488197e-18,1.6331407937567034e-18,1.832231763921162e-19,25.667281567618893
4051.7529999999997,25.7244229962918,2577.081530935993,333.3090213571836,1.8163639701488197e-18,1.599002606106615e-18,2.173613640422047e-19,25.580861442747246
4055.333,25.660550260537985,2577.090117899917,333.36430712901307,1.8163639701488197e-18,1.5648644184565308e-18,2.51499551692289e-19,25.4944413178756
4058.914,25.596677524784166,2577.0987048638412,333.4195929008425,1.8163639701488197e-18,1.5307262308064406e-18,2.8563773934237897e-19,25.40802119300395
4062.5029999999997,25.532804789030347,2577.107291827766,333.47487867267193,1.8163639701488197e-18,1.4965880431563525e-18,3.1977592699246747e-19,25.3216010681323
4066.094,25.468932053276532,2577.11587879169,333.53016444450134,1.8163639701488197e-18,1.4624498555062665e-18,3.539141146425532e-19,25.235180943260655
4069.6809999999996,25.405059317522714,2577.124465755615,333.5854502163308,1.8163639701488197e-18,1.428311667856178e-18,3.8805230229264174e-19,25.148760818389004
4073.265,25.3411865817689,2577.133052719539,333.6407359881602,1.8163639701488197e-18,1.3941734802060906e-18,4.2219048994272885e-19,25.062340693517356
4076.848,25.27731384601508,2577.1416396834634,333.69602175998966,1.8163639701488197e-18,1.3600352925560023e-18,4.563286775928173e-19,24.975920568645705
4080.4309999999996,25.21344111026126,2577.150226647388,333.7513075318191,1.8163639701488197e-18,1.3258971049059136e-18,4.904668652429059e-19,24.889500443774057
4084.0190000000002,25.149568374507446,2577.1588136113123,333.8065933036485,1.8163639701488197e-18,1.291758917255828e-18,5.246050528929916e-19,24.80308031890241
4087.616,25.085695638753627,2577.1674005752366,333.861879075478,1.8163639701488197e-18,1.2576207296057408e-18,5.587432405430788e-19,24.716660194030762
4091.208,25.021822902999812,2577.1759875391613,333.9171648473074,1.8163639701488197e-18,1.2234825419556525e-18,5.928814281931673e-19,24.630240069159115
4094.8,24.957950167245993,2577.1845745030855,333.97245061913685,1.8163639701488197e-18,1.1893443543055638e-18,6.270196158432558e-19,24.543819944287463
4098.392,24.894077431492175,2577.19316146701,334.02773639096625,1.8163639701488197e-18,1.1552061666554753e-18,6.611578034933443e-19,24.457399819415816
4101.988,24.83020469573836,2577.201748430934,334.0830221627957,1.8163639701488197e-18,1.121067979005391e-18,6.952959911434288e-19,24.37097969454417
4105.59,24.76633195998454,2577.2103353948582,334.1383079346251,1.8163639701488197e-18,1.0869297913553039e-18,7.294341787935158e-19,24.28455956967252
4109.182,24.702459224230726,2577.218922358783,334.1935937064546,1.8163639701488197e-18,1.0527916037052154e-18,7.635723664436043e-19,24.198139444800873
4112.77,24.6385864884769,2577.227509322707,334.2488794782839,1.8163639701487943e-18,1.0186534160550909e-18,7.977105540937033e-19,24.111719319929207
4116.355,24.574920509950122,2577.235270162819,334.30478461669924,1.8206943223142555e-18,9.90542790059386e-19,8.301515322548696e-19,24.026626915211907
4119.945,24.511316447886706,2577.242783055127,334.3608757864546,1.8253091407194327e-18,9.62864898059768e-19,8.624442426596648e-19,23.94169435397245
4123.534000000001,24.447777824331705,2577.250035722423,334.4171617427136,1.8302132259423822e-18,9.356298986806513e-19,8.945833272617313e-19,23.8569286971068
4127.125,24.384308266214983,2577.257015677329,334.47365134592405,1.8354106744013837e-18,9.088471610541062e-19,9.265635133472775e-19,23.772337054035763
4130.717000000001,24.32091150618375,2577.2637102263675,334.5303535569172,1.840904850660808e-18,8.825252263938342e-19,9.583796242669739e-19,23.687926576449417
4134.307,24.25759138335688,2577.270106474209,334.5872774319021,1.8466983599416793e-18,8.566717694239408e-19,9.900265905177387e-19,23.603704451742164
4137.894,24.194351843997854,2577.2761913281133,334.6444321173568,1.852793020865465e-18,8.3129355969138085e-19,1.0214994611740841e-18,23.519677896135605
4141.48,24.131196942103653,2577.2819515025403,334.70182684482444,1.8591898384596006e-18,8.063964227916762e-19,1.0527934156679244e-18,23.435854147487127
4145.073,24.06813083990645,2577.287373523945,334.75947092561637,1.8658889774529554e-18,7.819852015374724e-19,1.083903775915483e-18,23.352240457782134
4148.664000000001,24.00515780828569,2577.292443735753,334.81737374542956,1.8728897358895046e-18,7.580637171003608e-19,1.1148260187891442e-18,23.268844085308753
4152.2570000000005,23.942282227087638,2577.2971483034994,334.875544758881,1.880190519087958e-18,7.34634730156276e-19,1.1455557889316825e-18,23.185672286513935
