time/s,smt_CO2,smt_HCO3,smt_O2,PS_rate,Ub,Uc,srf_CO2,srf_HCO3,Uc_M,Ub_M,cyt_CO2
4299.918,21.109621968417308,2424.3188835907636,346.2506585537123,2.2665638688729617e-18,2.2100383438772657e-18,5.652552499569574e-20,21.107547545350204,2424.1675527115535,1.3762018182389264e-20,2.2528018506905722e-18,21.0989386765826
4303.509,21.102732077951586,2424.275419388319,346.3010126466225,2.2665638688729617e-18,2.205267002710739e-18,6.129686616222263e-20,21.100482552040635,2424.124415223465,1.9589373578181448e-20,2.2469744952947804e-18,21.088228364890238
4307.093,21.095842187485864,2424.2319551858745,346.35136673953275,2.2665638688729617e-18,2.2004956615442118e-18,6.606820732874952e-20,21.093417558731062,2424.0812777353763,2.5416728973974324e-20,2.2411471398989874e-18,21.077518053197874
4310.677,21.088952297020143,2424.1884909834303,346.40172083244295,2.2665638688729617e-18,2.1957243203776832e-18,7.083954849527835e-20,21.08635256542149,2424.0381402472876,3.1244084369768585e-20,2.2353197845031932e-18,21.066807741505507
4314.258,21.082062406554417,2424.1450267809855,346.45207492535314,2.2665638688729617e-18,2.1909529792111562e-18,7.561088966180524e-20,21.079287572111916,2423.9950027591985,3.707143976556077e-20,2.229492429107401e-18,21.056097429813143
4317.840999999999,21.075172516088696,2424.1015625785412,346.5024290182634,2.2665638688729617e-18,2.1861816380446277e-18,8.038223082833406e-20,21.072222578802343,2423.9518652711104,4.289879516135572e-20,2.223665073711606e-18,21.045387118120775
4321.433,21.068282625622974,2424.0580983760965,346.5527831111736,2.2665638688729617e-18,2.1814102968781026e-18,8.515357199485902e-20,21.06515758549277,2423.9087277830213,4.872615055714652e-20,2.2178377183158154e-18,21.03467680642841
4325.035,21.061392735157252,2424.014634173652,346.6031372040838,2.2665638688729617e-18,2.1766389557115737e-18,8.992491316138785e-20,21.0580925921832,2423.8655902949326,5.455350595294008e-20,2.212010362920022e-18,21.02396649473605
4328.626,21.05450284469153,2423.971169971208,346.65349129699405,2.2665638688729617e-18,2.1718676145450467e-18,9.469625432791473e-20,21.051027598873628,2423.822452806844,6.038086134873227e-20,2.2061830075242293e-18,21.013256183043687
4332.221,21.04761295422581,2423.927705768763,346.70384538990425,2.2665638688729617e-18,2.16709627337852e-18,9.946759549444163e-20,21.043962605564058,2423.7793153187554,6.620821674452516e-20,2.2003556521284367e-18,21.002545871351323
4335.813,21.040723063760087,2423.8842415663185,346.75419948281444,2.2665638688729617e-18,2.1623249322119947e-18,1.0423893666096659e-19,21.036897612254485,2423.7361778306663,7.203557214031525e-20,2.1945282967326464e-18,20.99183555965896
4339.397,21.03383317329436,2423.840777363874,346.80455357572464,2.2665638688729617e-18,2.1575535910454642e-18,1.0901027782749737e-19,21.02983261894491,2423.6930403425777,7.786292753611229e-20,2.1887009413368496e-18,20.981125247966588
4342.978,21.02694328282864,2423.7973131614294,346.8549076686349,2.2665638688729617e-18,2.1527822498789376e-18,1.1378161899402424e-19,21.02276762563534,2423.6499028544886,8.369028293190446e-20,2.1828735859410573e-18,20.970414936274228
4346.563,21.020053392362918,2423.753848958985,346.9052617615451,2.2665638688729617e-18,2.1480109087124106e-18,1.1855296016055114e-19,21.015702632325766,2423.6067653664004,8.951763832769735e-20,2.1770462305452643e-18,20.959704624581864
4350.151,21.013163501897196,2423.710384756541,346.9556158544553,2.2665638688729617e-18,2.143239567545882e-18,1.2332430132707996e-19,21.008637639016193,2423.5636278783118,9.53449937234916e-20,2.1712188751494705e-18,20.948994312889496
4353.744000000001,21.006273611431475,2423.666920554096,347.00596994736554,2.2665638688729617e-18,2.1384682263793566e-18,1.280956424936049e-19,21.001572645706624,2423.5204903902227,1.0117234911928173e-19,2.1653915197536802e-18,20.93828400119714
4357.3279999999995,20.999383720965753,2423.6234563516514,347.05632404027574,2.2665638688729617e-18,2.1336968852128316e-18,1.3286698366012988e-19,20.99450765239705,2423.4773529021336,1.0699970451507184e-19,2.15956416435789e-18,20.927573689504776
4360.916,20.99249383050003,2423.5799921492076,347.10667813318594,2.2665638688729617e-18,2.1289255440463007e-18,1.3763832482666065e-19,20.987442659087478,2423.434215414046,1.1282705991086955e-19,2.153736808962092e-18,20.91686337781241
4364.514,20.985603940034306,2423.536527946763,347.1570322260962,2.2665638688729617e-18,2.124154202879772e-18,1.4240966599318947e-19,20.980377665777905,2423.391077925957,1.1865441530666313e-19,2.147909453566299e-18,20.90615306612004
4368.108,20.978714049568584,2423.493063744318,347.2073863190064,2.2665638688729617e-18,2.119382861713249e-18,1.4718100715971251e-19,20.97331267246833,2423.3479404378677,1.2448177070245183e-19,2.1420820981705097e-18,20.89544275442768
4371.698,20.971824159102862,2423.449599541874,347.2577404119166,2.2665638688729617e-18,2.1146115205467182e-18,1.5195234832624324e-19,20.96624767915876,2423.304802949779,1.3030912609824816e-19,2.1362547427747137e-18,20.884732442735313
4375.286,20.96493426863714,2423.406135339429,347.30809450482684,2.2665638688729617e-18,2.1098401793801954e-18,1.5672368949276628e-19,20.95918268584919,2423.2616654616904,1.361364814940362e-19,2.1304273873789257e-18,20.874022131042953
4378.869000000001,20.95804437817142,2423.3626711369848,347.35844859773704,2.2665638688729617e-18,2.1050688382136646e-18,1.6149503065929703e-19,20.952117692539616,2423.218527973602,1.4196383688983323e-19,2.1246000319831288e-18,20.863311819350585
4382.451,20.951154487705697,2423.3192069345405,347.40880269064724,2.2665638688729617e-18,2.1002974970471376e-18,1.6626637182582392e-19,20.945052699230047,2423.175390485513,1.4779119228562542e-19,2.118772676587336e-18,20.852601507658225
