time/s,smt_CO2,smt_HCO3,smt_O2,PS_rate,Ub,Uc,srf_CO2,srf_HCO3,Uc_M,Ub_M,cyt_CO2
5944.328,21.1097860410369,2401.4751375533297,363.7247196741337,2.9181106924346878e-18,3.2109495717548597e-18,-2.9283887932017247e-19,21.1205328978994,2401.2552699554944,-3.6872689772860795e-19,3.2868375901632954e-18,21.351191034777468
5947.911999999999,21.10865146549551,2401.4079465974023,363.7930452056025,2.9181106924346878e-18,3.2105416904006465e-18,-2.9243099796595934e-19,21.11938335357196,2401.1881069289666,-3.6822874227768568e-19,3.2863394347123735e-18,21.34972986792156
5951.503000000001,21.10751688995412,2401.340755641475,363.86137073707124,2.9181106924346878e-18,3.210133809046437e-18,-2.9202311661175016e-19,21.118233809244522,2401.1209439024387,-3.6773058682676797e-19,3.2858412792614558e-18,21.348268701065656
5955.102,21.106382314412727,2401.2735646855476,363.92969626854,2.9181106924346878e-18,3.2097259276922225e-18,-2.9161523525753516e-19,21.117084264917082,2401.053780875911,-3.67232431375843e-19,3.2853431238105304e-18,21.34680753420974
5958.685,21.105247738871334,2401.2063737296203,363.99802180000876,2.9181106924346878e-18,3.2093180463380116e-18,-2.91207353903324e-19,21.115934720589646,2400.986617849383,-3.667342759249235e-19,3.2848449683596115e-18,21.345346367353837
5962.269,21.10411316332994,2401.1391827736925,364.0663473314775,2.9181106924346878e-18,3.2089101649838004e-18,-2.9079947254911285e-19,21.114785176262206,2400.9194548228547,-3.6623612047400263e-19,3.28434681290869e-18,21.343885200497926
5965.857,21.102978587788552,2401.071991817765,364.1346728629463,2.9181106924346878e-18,3.208502283629591e-18,-2.9039159119490367e-19,21.11363563193477,2400.8522917963273,-3.657379650230842e-19,3.283848657457772e-18,21.342424033642022
5969.441999999999,21.10184401224716,2401.0048008618382,364.202998394415,2.9181106924346878e-18,3.2080944022753744e-18,-2.8998370984068674e-19,21.11248608760733,2400.7851287698,-3.652398095721568e-19,3.283350502006844e-18,21.340962866786107
5973.04,21.100709436705767,2400.9376099059104,364.27132392588373,2.9181106924346878e-18,3.207686520921165e-18,-2.895758284864775e-19,21.111336543279894,2400.7179657432716,-3.6474165412123974e-19,3.282852346555927e-18,21.339501699930207
5976.634,21.099574861164378,2400.870418949983,364.3396494573525,2.9181106924346878e-18,3.207278639566954e-18,-2.891679471322664e-19,21.110186998952457,2400.650802716744,-3.6424349867031924e-19,3.2823541911050064e-18,21.3380405330743
5980.235,21.098440285622985,2400.803227994056,364.40797498882125,2.9181106924346878e-18,3.206870758212739e-18,-2.887600657780514e-19,21.109037454625017,2400.5836396902164,-3.637453432193946e-19,3.281856035654082e-18,21.336579366218388
5983.829000000001,21.097305710081592,2400.736037038129,364.47630052029,2.9181106924346878e-18,3.206462876858524e-18,-2.883521844238364e-19,21.107887910297578,2400.5164766636885,-3.6324718776846963e-19,3.2813578802031575e-18,21.335118199362473
5987.42,21.0961711345402,2400.668846082201,364.54462605175877,2.9181106924346878e-18,3.2060549955043127e-18,-2.8794430306962525e-19,21.106738365970138,2400.4493136371602,-3.6274903231755014e-19,3.280859724752238e-18,21.333657032506565
5990.999,21.09503655899881,2400.6016551262737,364.6129515832275,2.9181106924346878e-18,3.2056471141501034e-18,-2.87536421715416e-19,21.105588821642705,2400.382150610633,-3.6225087686663104e-19,3.2803615693013186e-18,21.332195865650665
5994.585,21.093901983457418,2400.534464170347,364.6812771146963,2.9181106924346878e-18,3.2052392327958864e-18,-2.8712854036119914e-19,21.104439277315265,2400.3149875841054,-3.6175272141570394e-19,3.279863413850392e-18,21.33073469879475
5998.175,21.092767407916025,2400.467273214419,364.74960264616504,2.9181106924346878e-18,3.204831351441677e-18,-2.867206590069899e-19,21.103289732987825,2400.247824557577,-3.612545659647866e-19,3.279365258399474e-18,21.329273531938842
6001.755999999999,21.091632832374636,2400.4000822584917,364.8179281776338,2.9181106924346878e-18,3.204423470087468e-18,-2.8631277765278073e-19,21.10214018866039,2400.1806615310493,-3.6075641051386815e-19,3.2788671029485555e-18,21.327812365082938
6005.340999999999,21.090498256833243,2400.3328913025643,364.88625370910256,2.9181106924346878e-18,3.204015588733253e-18,-2.8590489629856573e-19,21.10099064433295,2400.1134985045214,-3.6025825506294385e-19,3.2783689474976316e-18,21.326351198227027
6008.925,21.08936368129185,2400.265700346637,364.9545792405713,2.9181106924346878e-18,3.2036077073790402e-18,-2.8549701494435265e-19,21.099841100005513,2400.0463354779936,-3.597600996120216e-19,3.277870792046709e-18,21.32489003137112
6012.51,21.088229105750457,2400.1985093907097,365.0229047720401,2.9181106924346878e-18,3.203199826024829e-18,-2.8508913359014155e-19,21.098691555678073,2399.9791724514657,-3.5926194416110146e-19,3.2773726365957893e-18,21.32342886451521
6016.1,21.087094530209068,2400.1313184347823,365.0912303035088,2.9181106924346878e-18,3.2027919446706154e-18,-2.846812522359284e-19,21.097542011350637,2399.9120094249383,-3.5876378871017783e-19,3.276874481144865e-18,21.3219676976593
6019.689,21.085959954667675,2400.064127478855,365.15955583497754,2.9181106924346878e-18,3.2023840633164046e-18,-2.8427337088171727e-19,21.096392467023197,2399.8448463984105,-3.5826563325925733e-19,3.2763763256939446e-18,21.320506530803392
6023.289000000001,21.084825379126283,2399.9969365229276,365.2278813664463,2.9181106924346878e-18,3.2019761819621914e-18,-2.8386548952750423e-19,21.09524292269576,2399.7776833718826,-3.577674778083351e-19,3.275878170243023e-18,21.319045363947485
